기준_년분기_코드,상권_코드,상권_코드_명,자치구,상권유형,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,p_순감소,예측_개업건수,예측_폐업건수,예측_개업률,예측_폐업률
20261,3110140,건대입구역 6번,광진구,골목상권,CS100001,한식음식점,41,0.39917542446356663,1.8231559566591349,1.690802518873323,4.446721845510085,4.123908582617861
20261,3110140,건대입구역 6번,광진구,골목상권,CS100002,중식음식점,59,0.4193952545311785,2.03336677234745,3.3824611904111226,3.446384359910932,5.732985068493428
20261,3110140,건대입구역 6번,광진구,골목상권,CS100009,호프-간이주점,14,0.2677295384865042,0.43708609179099905,0.5718403483266327,3.12204351279285,4.084573916618805
20261,3110140,건대입구역 6번,광진구,골목상권,CS100010,커피-음료,17,0.3586669855381784,0.8363282638995421,0.8525026392923687,4.919578022938483,5.014721407602169
20261,3110141,건대입구역 1번,광진구,골목상권,CS100001,한식음식점,24,0.34371508095081676,1.1162148024907448,1.0654935666823047,4.650895010378103,4.439556527842936
20261,3110141,건대입구역 1번,광진구,골목상권,CS100007,치킨전문점,5,0.14407472951397188,0.18152426681479647,0.2819763112998588,3.630485336295929,5.639526225997176
20261,3110141,건대입구역 1번,광진구,골목상권,CS100009,호프-간이주점,19,0.34741407534918345,0.5628709553079284,0.8805180831023774,2.9624787121469915,4.634305700538829
20261,3110141,건대입구역 1번,광진구,골목상권,CS100010,커피-음료,7,0.1432591685527977,0.3485168907737749,0.36575139578890403,4.978812725339641,5.225019939841486
20261,3110142,화양사거리,광진구,골목상권,CS100001,한식음식점,50,0.41351812630054907,2.1752187050418224,1.9919129189986322,4.350437410083645,3.9838258379972644
20261,3110142,화양사거리,광진구,골목상권,CS100002,중식음식점,5,0.09761113970335664,0.2229246590336978,0.2334354505771711,4.458493180673956,4.668709011543422
20261,3110142,화양사거리,광진구,골목상권,CS100003,일식음식점,7,0.19556294532232016,0.27085456591981766,0.3202737932345695,3.869350941711681,4.575339903350993
20261,3110142,화양사거리,광진구,골목상권,CS100004,양식음식점,9,0.24492705174350488,0.37668073580890743,0.40733049718537795,4.18534150898786,4.525894413170866
20261,3110142,화양사거리,광진구,골목상권,CS100006,패스트푸드점,6,0.19191076605658242,0.22123918020866323,0.32292222821091254,3.687319670144387,5.382037136848542
20261,3110142,화양사거리,광진구,골목상권,CS100007,치킨전문점,6,0.21978966442901185,0.20356156571464434,0.2906038863725471,3.392692761910739,4.8433981062091185
